part10;single
part18;touching
part2;touching
part37;single
part15;single
part39;nuclei
part24;single
part7;single
part5;single
part33;single
part30;single
part4;single
part14;single
part27;dusts
part36;single
part32;single
part17;single
part26;single
part41;nuclei
part20;single
part16;single
part31;nuclei
part29;single
part13;single
part35;single
part11;touching
part9;touching
part38;dusts
part25;single
part22;single
part12;single
part1;single
part19;touching
part0;single
part21;single
part6;single
part28;nuclei
part8;touching
part23;touching
part40;nuclei
part3;single
part34;dusts
