part10;touching
part18;single
part2;single
part37;single
part15;single
part24;single
part7;single
part5;single
part33;touching
part30;single
part4;touching
part14;touching
part27;single
part36;single
part32;single
part17;single
part26;touching
part20;single
part16;single
part31;single
part29;single
part13;single
part35;single
part11;single
part9;single
part38;nuclei
part25;single
part22;single
part12;touching
part1;single
part19;single
part0;nuclei
part21;single
part6;single
part28;single
part8;single
part23;single
part3;nuclei
part34;single
