part10;single
part18;touching
part2;single
part37;single
part15;nuclei
part39;single
part24;single
part42;single
part7;single
part5;single
part33;touching
part30;touching
part4;touching
part14;single
part27;touching
part36;single
part32;touching
part17;single
part26;single
part41;single
part20;single
part16;single
part31;single
part29;single
part13;single
part35;touching
part11;single
part9;single
part38;single
part25;single
part22;single
part12;single
part1;nuclei
part19;single
part0;dusts
part21;single
part6;single
part28;single
part8;single
part23;single
part40;single
part3;single
part34;single
