part10;single
part18;dusts
part2;single
part37;touching
part15;dusts
part39;dusts
part24;dusts
part42;touching
part7;single
part5;single
part33;single
part30;dusts
part4;touching
part14;single
part45;single
part27;dusts
part36;single
part32;single
part17;touching
part26;single
part41;single
part20;single
part16;dusts
part31;dusts
part29;single
part13;dusts
part35;single
part48;dusts
part11;single
part9;dusts
part38;dusts
part25;dusts
part22;dusts
part12;single
part1;single
part19;dusts
part0;touching
part21;touching
part6;single
part43;single
part47;dusts
part28;dusts
part44;single
part8;touching
part23;single
part40;single
part46;nuclei
part3;single
part34;single
